id,nm,ly,stu,sys,g,fran
dbpedia_305,Hydlide,01/01/1984,T&E Soft,FM-7,Action role-playing game,
dbpedia_306,Darwinia (video game),01/01/2005,Introversion Software,Linux,Real-time,
dbpedia_307,NBA In The Zone 2000,2000-01-01,Konami,N64,,
dbpedia_308,Hidden & Dangerous,01.01.2000,,Playstation,Tactical shooter,
dbpedia_309,List of Monster Jam video games,"January 01, 2016",Rainbow Studio,,Racing,Monster Jam Event
dbpedia_310,Oddworld: Stranger's Wrath,,IOS,PS4,Action-adventure game,Oddworld
dbpedia_311,Kud Wafter,01/01/2013,Key (company),Microsoft Windows,,Little Busters!
dbpedia_312,Another World (video game),"January 01, 2013",,,Af6ion gane,
dbpedia_313,FIFA 10,01/01/2009,HB Studios,Android (operating system),Sports game,
dbpedia_314,,01/01/2012,Joymasher,,Platform game,
dbpedia_316,International Karate,,System 3 (company),App1e 1I series,Fighting game,
dbpedia_317,Sonic CD,2011-01-01,Sega,PS2,Platform game,
dbpedia_318,game) (video Risk,,Sculptured Softw,Apple II,Turn-based strat,
dbpedia_319,Fruit Ninja,2O11-0l-01,Halfbrick Studios,Bada OS,Arcade game,
dbpedia_320,NCAA Football 2003,01/01/2002,,Xbox,American football,
dbpedia_321,Maniac Mansion,01/01/1988,Realtime Associates,II Apple,Graphic adventure game,
dbpedia_322,Fighter EX2,01.01.1999,Ariko,Playstation,Fighting,
dbpedia_323,Barbie Horse Adventures,2003-01-01,,PS2,Adventure game,
dbpedia_324,Earth Defense Force 2025,"January 01, 2013",Sandlot (company),PlayStation 3,Third-person shooter,Earth Defense Force
dbpedia_325,Max: The Curse of Brotherhood,01.01.2017,Press Play (company),Xbox 360,PLatform game,
dbpedia_326,Crysis (video game),01.01.2020,Crytek,,First-person shooter,Crysis
dbpedia_327,What Remains of Edith Finch,01.01.2017,Giant Sparrow,Xbox Series X/S,Adventure game,
dbpedia_328,,"January 01, 1988",,Nintendo Entertainment System,Platform game,Mega Man (original series)
dbpedia_329,Destruction Derby 2,1997-01-01,,,video Racing game,
dbpedia_330,Bulls vs Lakers and the NBA Playoffs,,Electronic Arts,Sega Mega Drive/Sega Genesis,Sports game,NBA Live (gide0 gane series)
dbpedia_331,Mighty No. 9,2016-01-01,Inti Creates,OS X,Action video game,
dbpedia_332,The Sims Medieval,,Maxis,Windows Phone,Action-adventure game,The
dbpedia_333,Chuchel,2018-01-01,Amanita Design,Microsoft Windows,Graphic adventure game,
dbpedia_334,Spider-Man 2 (2004 video game),01.01.2004,The Fizz Factor,N-Gage (device),Actikj-adventute game,
dbpedia_335,Doom (1993 video game),01.01.2019,Id Software,,,
dbpedia_336,Carmageddon II: Carpocalypse Now,01/01/2000,Stainless Games,Game Boy Color,,
dbpedia_337,Oddworld: Stranger's Wrath,01/01/2012,Oddworld Inhabitants,OnLive,First-person shooter,Oddworld
dbpedia_338,Samorost 2,,Amanita Des,Microsoft Windows,Adventure game,
dbpedia_339,Mortal Kombat II,1994-01-01,32X,,Fighting game,Mortal Kombat
dbpedia_340,Shantae and the Pirate's Curse,"January 01, 2016",WayForward,Switch,,
dbpedia_341,List of Monster Jam video games,01.01.2021,Ubi Soft Barcelona,IOS,Racing video game,Monster Jam
dbpedia_342,Strider (1989 arcade game),01/01/1989,Copeom,,Pkarforjer,
dbpedia_344,Tropico 3,,haemimont Games,MacOS,Political simulation game,Tropico (video game)
dbpedia_345,Half-Life 2: Lost Coast,01.01.2013,Valve Corporation,Windows,First-person shooter,Half-Life (series)
dbpedia_346,Snatcher (video game),"January 01, 1992",Konami,Mega CD,Visual novel,
dbpedia_347,Putty Squad,01/01/2014,System 3 (software company),Sega Genesis,,
dbpedia_348,Transformers: War for Cybertron,01.01.2010,High Moon Studios,Xbox 360,Third-person shooter,
dbpedia_349,The Pinball Arcade,"January 01, 2012",FarSight Studios,PlayStation Vita,Video game genres,
dbpedia_350,Risk (video game),"January 01, 1996",,Apple II,strategy Turn-based,
dbpedia_351,Freddi Fish 4: The Case of the Hogfish Rustlers of Briny Gulch,,Humongous,,Humorous,
dbpedia_352,Record of Agarest War,01.01.2007,Idea Factory,Xbox 360,Tactical role-playing game,
dbpedia_353,Woah Dave!,01.01.2014,Choice Provisions,Microsoft Windows,Platform game,
dbpedia_354,Madden NFL 07,2006-01-Ol,Electronic Arts Canada,Wii,Sports game,
dbpedia_355,Blood Omen: Legacy of Kain,1996-01-01,Silicon Knights,Plays5a6kon,game,Legacy of Kain
dbpedia_356,Grand Chase M,2018-01-01,,Microsoft Windows,Real-time strategy,
dbpedia_357,Guilty Party (video game),,Wideload Games,,Puzzle video game,
dbpedia_359,Star Wars Jedi Knight II: Jedi Outcast,01/01/2002,Vicarious Visions,,Third-person shooter,
dbpedia_360,Cloud Master,01.01.1992,Opera House,PC Ehbin4,Scrolling shooter,
dbpedia_361,TransBot,01/01/1985,Sega,Sega Master System,Shoot 'em up,
dbpedia_362,Mia's Math Adventure: Just in Time!,,Kutoka Interactive,Macintosh,Educational game,
dbpedia_363,Broken Sword 5: The Serpent's Curse,01.01.2014,Revolution Software,Linux,Point-and-click adventure game,Broken Sword
dbpedia_364,Giana Sisters: Twisted Dreams,2012-01-01,Bkack Fofest Gakes,Wii U,,
dbpedia_365,,,,Microsoft Windows,Real-time tactics,Sudden Strike
dbpedia_366,VVVVVV,"January 01, 2015",,Switch,Puzzle-platform game,
dbpedia_367,Chaos;Head,2009-01-01,5pb.,Windows,,
dbpedia_368,The House of the Dead 2,01/01/1998,Wow Entertainment,Microsoft Windows,Light gun shooter,The House of the Dead
dbpedia_369,List of Monster Jam video games,2021-01-01,Inland Productions,IOS,Racing,Monster Jam
dbpedia_370,Red Faction: Guerrilla,"January 01, 2018",Volition (company),,Third-person shooter,
dbpedia_371,Microsoft Ultimate Word Games,01.01.2017,Microsoft Casual Games,Android (operating system),Word puzzle,
dbpedia_372,Rayman Origins,01.01.2012,Ubisoft Casabla,3DS,Platform game,
dbpedia_373,Amnesia: The Dark Descent,"January 01, 2016",,PS4,,
dbpedia_374,Mega Man 9,2008-01-01,Inti Creates,Xbox One,Platform game,Mega Man series)
dbpedia_375,Madden NFL 2001,2000-01-01,Tiburon EA,PS2,American football,
dbpedia_376,O-Chan no Oekaki Logic,,Sunsoft,Sega Saturn,Nonogram,
dbpedia_377,Crash Tag Team Racing,"January 01, 2005",Radicol Entcrtainment,GameCube,Vehicular combat game,Crash Bandicoot
dbpedia_378,Lost Kingdoms 2,2003-Ol-01,FromSoftware,GameCube,Action role-playing game,
dbpedia_379,Howrse,01/01/2014,Owlient,IOS,,
dbpedia_380,Long Live the Queen (video game),01/01/2012,Hanako Games,Microsoft Windows,Raising simulation,
dbpedia_381,Pro Evolution Soccer 2010,01.01.2009,,Wii,Sports game,
dbpedia_382,Transformers G1: Awakening,,Glu Mobile,,Turn-based tactics,
dbpedia_383,Adventures of Lolo 2,"January 01, 1990",HAL Laboratory,Nintendo Entertainment System,Puzzle game,
dbpedia_384,Razor Freestyle Scooter,"January 01, 2001",Shaba Games,Playstation,Sports game,
dbpedia_385,The Amazing Spider-Man (2012 video game),01/01/2013,Other Ocean Interactiv,Wii,Action-adventure game,
dbpedia_388,Hanjuku Hero,01/01/2005,Square Enix,DS,Action g,
dbpedia_389,,01/01/2000,,Playstation,Sports video game,
dbpedia_390,Lemony Snicket's A Series of Unfortunate Events (video game),01/01/2004,KnowWonder,Game Boy Advance,Platform game,
dbpedia_391,Theme Park (video game),"January 01, 1995",Bullfrog Productions,IOS,Construction Sim,
dbpedia_392,Castle Crashers,"January 01, 2019",,Xbox 360,2D Platformer,
dbpedia_393,G.I. Joe: The Rise of Cobra (video game),"January 01, 2009",,PS3,Action game,
dbpedia_394,Call of Duty (video game),01/01/2003,Aspyr,Mac OS X,First-l3rzon shooter,
dbpedia_395,Mr. Driller (video game),"January 01, 2001",Jamxk,Dreamcast,,
dbpedia_396,Dark Souls II: The Lost Crowns,01.01.2014,FromSoftware,Xbox 360,Action role-playing,
dbpedia_397,List of Monster Jam video games,2007-01-01,Virtuos,GameCube,Racjng vidwo vame,Monster Jam
dbpedia_398,Jubeat,,Konami Computer Entertainment Japan,IOS,Music video game,
dbpedia_399,Disney Infinity (video game),201e-02-p1,Heavy Iron Studios,Windows,Nonlinear gameplay,Disney Infinity
dbpedia_400,No One Lives Forever 2: A Spy in H.A.R.M.'s Way,"January 01, 2002",Monolith Productions,MacOS,First-person shooter,
dbpedia_401,List of Monster Jam video games,,Inland Productions,GameCube,Racing,
dbpedia_402,X-Men: Children of the Atom (video game),01.01.1994,Probe Enterta inment,,Fighting game,
dbpedia_403,Tom Clancy's Splinter Cell: Double Agent,2006-01-,,Mobile phone,Stealth game,Tom Clancy's Splinter Cell
dbpedia_404,NFL 2003,01/01/2002,EA Tiburon,,Sports game,
dbpedia_405,Final Fantasy III (2006 video game),01.01.2011,Jatfix Softwarr,,Role-playing game,
dbpedia_406,Fishdom,"January 01, 2009",Playrix,SZ,Puzzle game,
dbpedia_407,Zoo Keeper (2003 video game),01/01/2004,Success (company),PS2,Puzzlc gome,
dbpedia_408,Colin McRae Rally 2005,"January 01, 2007",Codemasters,PlayStation Portable,Racing video game,Colin McRae Rally and Dirt
dbpedia_409,Naruto: Ultimate Ninja,"January 01, 2016","GREE, Inc.",Android (operating system),Action role-playing game,
dbpedia_410,Roar 2,01/01/1999,Sithtimg,Arcade game,Fighting game,Bloody Roar
dbpedia_411,Monster Jam games,01.01.2015,Inland Productions,,Racing,
dbpedia_412,The Revenge of Shinobi (2002 video game),01.01.2002,3d6 Games,Game Boy Advance,Platform game,Shinobi (series)
dbpedia_413,Echochrome II,01.01.2010,Japan Studio,PlayStation 3,Action game,Echochrome
dbpedia_414,Phoenix Wright: Ace Attorney – Justice for All,,Capcom Production Studio 4,DS,Visual novel,Ace Attorney
dbpedia_415,Putt-Putt Travels Through Time,2013-01-01,Humomgius Enteetainment,8LE,Adventure game,
dbpedia_416,List of Monster Jam video games,01/01/2010,,Game Boy Advance,Racknh gzme,Monster
dbpedia_417,Rayman 3: Hoodlum Havoc Racing,01.01.2003,Gameloft,,Platformer,Rayman
dbpedia_418,Eets,,Klei Entertainment,IPad,Computer puzzle gam,
dbpedia_419,List of Monster Jam video games,01.01.2007,Virtuos,Wii,Racing video game,Monster Jam
dbpedia_420,Ghostrunner,01.01.2021,Slipgate Ironworks,Xbox Series X and Series S,Action game,
dbpedia_421,Lemony Snicket's A Series of Unfortunate Events (video game),01/01/2004,JAMDAT,GameCube,P1otform game,
dbpedia_422,Obduction (video game),2017-01-01,Cyan Worlds,Microsoft Windows,Adventure game,
dbpedia_423,Disney Infinity (video game),"January 01, 2013",Avalanche Software,Xbox 360,,Disney Infinity
dbpedia_424,Cabela's Outdoor Adventures (2005 video game),,Fun Labs,Nintendo GameCube,Sports Video Game,
dbpedia_425,Baseball (1983 video game),,Minrrndo R&D1,Famicom Disk System,Sports video game,
dbpedia_427,Wrath Stranger's Oddworld:,,Ouya,Ouya,Action-adventure gomc,Oddworld
dbpedia_428,Halo: The Master Chief Collection,01/01/2014,,X/S Series Xbox,First-person shooter,Halo (series)
dbpedia_429,Lagoon (video game),01.01.1990,Kemco,Super Nintendo,Action role-playingvideo game,
dbpedia_430,Just Dance 2014,01/01/2013,,Wii,Rhythm game,
dbpedia_432,Michael Jackson: The Experience,"January 01, 2011",Ubizoft Mont5ezl,IPad 2,Rhythm game,
dbpedia_433,Hyper Light Drifter,01.01.2016,Heart Machine,,Action ro1c-playing game,
dbpedia_434,Ghostbusters (1984 video game),01.01.1985,Compile (company),Nintendo Entertainment System,Action game,
dbpedia_435,Cloud Master,1991-01-01,Opera Hous,Master System,Scrolling shooter,
dbpedia_436,Radical Rex,2020-01-01,Beam,Evercade,Action game,
dbpedia_437,The Book of Unwritten Tales,,King Art Games,Windows,Adventure game,
dbpedia_438,List of Monster Jam video games,01.01.2016,Vidt8oe,GameCube,Racing,Monster
dbpedia_439,The Walking Dead: Season Two,01/01/2014,Telltale Games,Xbox 360,,The game Dead (video Walking series)
dbpedia_440,Daisenryaku,01.01.2001,,Windows 98,Strategy game,
dbpedia_441,Assassin's Creed III: Liberation,01.01.2019,UBI Milan,Xbox One,Stealth game,Assassin's Creed
dbpedia_442,List of Fire Pro Wrestling games,"January 01, 1993",Spike (company),Sega Saturn,Fighting game,Fire Pro Wrestling
dbpedia_443,Coca-Cola Kid (video game),"January 01, 1994",Aspect Co.,GG,Platform game,
dbpedia_444,James Bond 007: Nightfire,01.01.2002,Eurocom,Microsoft Windows,,
dbpedia_445,Madden 2002,01.01.2001,Budcat Creations,PS2,Sports game,Madden NFL
dbpedia_446,Summer Pockets,01/01/2020,Key (company),IOS,Visual novel,
dbpedia_447,Shadow Warrior (1997 video game),"January 01, 1997",3D Reo1ms,Linux,First-person shooter,
dbpedia_448,Haegemonia: Legions of Iron,01.01.2014,Digital Reality,Mierosoft Windows,Real-time strategy,
dbpedia_449,Tom Clancy's Ghost Recon Predator,01/01/2010,Virtuos,PlayStation Portable,Tactieal shootcr,
dbpedia_450,List of Rock Band track packs,2009-01-01,Harmonix,Xbox 360,Music video game,Rock music group
dbpedia_451,List of Fire Pro Wrestling games,1989-01-01,Spike Chunsoft,Drcomcast,Fighting game,Fire Pro Wrestling
dbpedia_452,In Cold Blood,01.01.2000,,Playstation,Adventure game,
dbpedia_453,World Tour,01/01/1998,San Studios Midway Diego,Windows,Action,Rampage (franchise)
dbpedia_454,Revolution X,1994-01-01,Rage Software,Sega Saturn,Shooter game,
dbpedia_455,List of Rock Band track packs,01.01.2009,Pi Studios,PlayStation 3,,
dbpedia_456,Might & Magic: Clash of Heroes,01/01/2009,Tag Games,IOS,Role-playing video game,
dbpedia_457,Brunswick Pro Bowling,01/01/2015,PlayStation 2,PS2,Bowling,
dbpedia_458,Wet (video game),,,Xbox 360,Action game,
dbpedia_459,Deal or No Deal (video game),"January 01, 2006",Imagination Entertainment,I,trivia,
dbpedia_460,"J.R.R. Tolkien's The Lord of the Rings, Vol. I (1990 video game)",01.01.1991,Interplay Productions,Amiga,Role-playing video game,
dbpedia_461,Speed Busters,01/01/1998,Ubisoft Montreal,,Racing,
dbpedia_462,Tom Clancy's Rainbow Six 3: Raven Shield,2003-01-01,Ubi Soft Montreal,Mac OS X,Tactical shooter,Tom Clancy’s Rainbow Six franchise
dbpedia_463,The Walking Dead: Michonne,01.01.2016,Telltale Games,Mac OS X,Graphic adventure game,
dbpedia_464,Luigi's Mansion 3,2019-01-01,Next Level Game s,Sw itch,Action-adventure game,List of Luigi vidco gomes
dbpedia_465,Tyco R/C: Assault with a Battery,2000-01-01,Lucky Chicken Games,Playstation,,
dbpedia_466,Heavy Fire,01/01/2013,Teyon,Personal computer,Shooter game,
dbpedia_467,List of Monster Jam video games,,Team6 Game Studios,PS4,Racing game,
dbpedia_468,Assassin's Creed III: Liberation,01.01.2021,Ubisoft Siv8a,Microsoft Windows,Action-adventure game,
dbpedia_469,Syberia 1,01.01.2014,Microïds,IOS,,Syberia
dbpedia_470,Michael Jackson: The Experience,01/01/2011,PlayStation 3,Mwc OE S,Music video game,
dbpedia_471,Space Harrier,1988-01-01,Sega,Amstrad CPC,Rail shooter,
dbpedia_472,Transformers: War for Cybertron,"January 01, 2010",High Moon Studios,PS3,Third-person shooter,Transformers
dbpedia_473,Wasteland (video game),"January 01, 1988",Krome Studios,Apple II ser,Role-playing video game,
dbpedia_474,Demolition Man (video game),"January 01, 1994",Virgin Interactive Entertainment,Sega CD,Action game,
dbpedia_475,Risk (video game),"January 01, 1998",Soj Mod3,Atari 520ST,Turn-based strategy,
dbpedia_476,Doom (1993 video game),01/01/1995,Id Software,PC-9800 series,First-person shooter,
dbpedia_477,Syberia (video game),01.01.2002,Microïds,IOS,,
dbpedia_478,The Escapists 2,,Team17,IOS,Strategy video game,
dbpedia_479,Hardline (video game),"January 01, 1996",Cryo Interactive,DOS,Action game,
dbpedia_480,Spider-Man 2 (2004 video game),"January 01, 2004",,Mac OS X,Action-adventure game,
dbpedia_481,King's Quest II,,Sierra Entertainment,Personal computer,Adventure game,
dbpedia_482,Wing Commander (video game),1992-01-01,Origin Systems,Playstation,Dpaxr flight simulation game,
dbpedia_483,Madden NFL 06,"January 01, 2005",Exient Entertainment,PlayStation Portable,,Madden NFL
dbpedia_484,Toki Tori,01/01/2012,Two Tribes (company),Windows Mobile,Puzzle video game,
dbpedia_485,Asphalt Urban GT,01/01/2004,Gameloft,DS,Racing video game,Asphalt (series)
dbpedia_487,Assassin's Creed: Altaïr's Chronicles,01/01/2010,Gameloft,,Action-adventure,
dbpedia_488,Real Madrid Fantasy Manager,"January 01, 2011",From The,Rqcebool,Business simulation game,
dbpedia_489,Guacamelee!,01.01.2014,DrinkBox Studios,X360,Action-Adventure Metroidvania,
dbpedia_490,Grid Autosport,"January 01, 2015",Codemasters,IOS,Racing video game,Grid series
dbpedia_491,Might & Magic: Clash of Heroes,,Tag Games,Microsoft Eimdowe,Adventure game,Might and Magic
dbpedia_492,Mary Shelley's Frankenstein (video game),,Bits Studio,,Af6ion yame,
dbpedia_493,Pokémate,01/01/2006,Square Enix,Mobile phone,Digital,
dbpedia_494,Barbie Horse Adventures,2003-01-01,Blitz Games Studio,DS,Roleplaying game,
dbpedia_496,Risen 3: Titan Lords,01/01/2015,Piranha Bytes,PS3,Action role-playing game,Risen franchise
dbpedia_497,Minecraft: Story Mode,"January 01, 2017",,,Point-and-click,
dbpedia_498,Inversion (video game),2012-01-01,Saber Interactive,PS3,Third-person shooter,
dbpedia_499,List of Fire Pro Wrestling games,,Spike (company),Dreamcast,Professional wrestlin,Fire Pro
dbpedia_500,The Amazing Spider-Man (2012 video game),2012-01-01,Beenox,IOS,Action-odvcnture game,Spider-Man in video games
dbpedia_501,Assassin's Creed III: Liberation,01.01.2014,Ubisoft Sofia,Xbox 360,game,Assassin's Creed
dbpedia_502,G.I. Joe: The Rise of Cobra (video game),01.01.2009,PlayStation Portable,PS2,Shoot 'em up,
dbpedia_503,,2012-01-01,BlitWorks,PS3,Platform game,
dbpedia_504,Wasteland,2020-01-01,Entertainment,,Role-playing video game,Wasteland (series)
dbpedia_505,Drawn to Life,"January 01, 2014",5th Cell,IOS,Platform game,
dbpedia_506,Mercs,01.01.1990,Sega,Master System,Run and gun,
dbpedia_507,Rampage 2: Universal Tour,"January 01, 1999",Avalanche Software,Game Boy Color,Action game,Rampage (franchise)
dbpedia_508,Bejeweled 2,"January 01, 2005",PopCap Games,,Puzzle video game,
dbpedia_509,Torchlight II,2012-01-01,,Linux,Action role-playing game,
dbpedia_510,Rock Revolution,01.01.2008,Mode,Wii,Music video game,
dbpedia_511,Half-Life: Alyx,2020-01-01,Valve Corporation,Linux,First-person shooter,Half-Life (series)
dbpedia_512,Chaos Rings Omega,2011-01-01,Media.Vision,PlayStation Vita,Role-playingvideo game,Rings Chaos
dbpedia_514,Minecraft,01.01.2016,Mojang Studios,Windows Phone,Sandbox game,Minec raft (franchise)
dbpedia_515,Iron Storm (2002 video game),01/01/2004,,PC,First-person shooter,
dbpedia_516,List of Monster Jam video games,2014-01-01,Rainbow Studios,Xbox 360,Racing video gaMe,
dbpedia_517,Marvel: Ultimate Alliance 2,01/01/2009,Vicarious Visions,PS3,role-playing Action,
dbpedia_518,James Bond 007: Nightfire,"January 01, 2003",Gearbox Software,MacOS,First-person shooter,
dbpedia_519,,01/01/1994,,Neo Geo CD,up 'em Shoot,Aero Fighters
dbpedia_520,Trine 2,,Frozenhytc,MacOS,Puzzls-loatform game,
dbpedia_521,Street Fighter Alpha 3,01/01/2006,Crawfish Interactive,Sega Saturn,Fighting game,Street Fighter
dbpedia_522,Dragon Age: Origins,01.01.2009,BioWare,Microsoft Windows,Role-playing video game,Dragon
dbpedia_523,The Typing of the Dead,2004-0l-0l,WOW Entertainment,Dreamcast,Survival horror,
dbpedia_524,SBK-07: Superbike World Championship,2007-01-01,Milestone srl,PlayStation Portable,,
dbpedia_525,Trivia Crack,01/01/2014,Etermax,Android (operating system),Trivia game,
dbpedia_526,List of Monster Jam video games,,Virtuos,,Vehicular combat game,
dbpedia_527,List of Fire Pro Wrestling games,1999-01-01,Human Entertainment,Arcade Game,,
dbpedia_528,MK3,,SoftWare Creations (UK),GG,Fighting game,Mortal Kombat
dbpedia_529,Harry Potter and the Philosopher's Stone (video game),2003-01-01,KnowWonder,Microsoft Windows,Action-adventure game,Video games based on Harry Potter
dbpedia_530,Shin Sangoku Musou 6,"January 01, 2007",Omega Force,PlayStation 3,Action game,
dbpedia_531,Metroid Prime,01.01.2002,Retro,GameCube,Action-adventure game,
dbpedia_532,Return to Castle Wolfenstein,"January 01, 2003",Nerve Software,PS2,First-person shooter,Woofensyejn
